时间戳,温湿度传感器ID,位置,温度,湿度,PM2.5,预警状态
2025-04-06 05:00:00,SENS003,生产区A,27.4,54.9,37.1,PM2.5超标
2025-04-06 05:00:00,SENS004,质检区,25.0,60.3,39.8,PM2.5超标
2025-04-06 05:00:00,SENS005,生产区A,28.8,61.1,25.5,温度偏高
2025-04-06 05:00:00,SENS006,质检区,24.5,58.1,40.3,PM2.5超标
2025-04-06 05:00:00,SENS007,质检区,27.1,54.0,12.5,正常
2025-04-06 05:00:00,SENS008,生产区B,24.1,52.9,25.2,正常
2025-04-06 06:00:00,SENS001,生产区B,24.4,51.5,15.4,正常
2025-04-06 06:00:00,SENS002,生产区A,30.1,51.3,18.5,温度偏高
2025-04-06 06:00:00,SENS003,生产区A,27.3,56.4,17.1,正常
2025-04-06 06:00:00,SENS004,质检区,27.6,59.6,37.1,PM2.5超标
2025-04-06 06:00:00,SENS005,生产区A,30.8,54.4,42.3,温度偏高|PM2.5超标
2025-04-06 06:00:00,SENS006,质检区,24.5,55.4,16.8,正常
2025-04-06 06:00:00,SENS007,质检区,27.4,59.7,42.6,PM2.5超标
2025-04-06 06:00:00,SENS008,生产区B,26.7,57.3,29.7,正常
2025-04-06 07:00:00,SENS001,生产区B,27.4,55.9,34.0,正常
2025-04-06 07:00:00,SENS002,生产区A,27.6,53.9,36.6,PM2.5超标
2025-04-06 07:00:00,SENS003,生产区A,27.3,49.9,33.8,正常
2025-04-06 07:00:00,SENS004,质检区,25.4,48.8,44.0,PM2.5超标
2025-04-06 07:00:00,SENS005,生产区A,30.2,55.0,41.2,温度偏高|PM2.5超标
2025-04-06 07:00:00,SENS006,质检区,26.2,50.1,38.0,PM2.5超标
2025-04-06 07:00:00,SENS007,质检区,26.1,54.1,11.8,正常
2025-04-06 07:00:00,SENS008,生产区B,25.5,55.3,44.4,PM2.5超标
2025-04-06 08:00:00,SENS001,生产区B,26.1,54.1,18.9,正常
2025-04-06 08:00:00,SENS002,生产区A,26.8,50.9,33.2,正常
2025-04-06 08:00:00,SENS003,生产区A,27.2,52.0,23.0,正常
2025-04-06 08:00:00,SENS004,质检区,25.6,52.0,27.1,正常
2025-04-06 08:00:00,SENS005,生产区A,26.7,51.6,28.7,正常
2025-04-06 08:00:00,SENS006,质检区,23.9,46.5,23.8,正常
2025-04-06 08:00:00,SENS007,质检区,25.0,51.7,20.3,正常
2025-04-06 08:00:00,SENS008,生产区B,24.5,54.4,10.3,正常
2025-04-06 09:00:00,SENS001,生产区B,26.9,46.4,10.9,正常
2025-04-06 09:00:00,SENS002,生产区A,28.8,50.4,49.1,温度偏高|PM2.5超标
2025-04-06 09:00:00,SENS003,生产区A,27.6,48.9,17.9,正常
2025-04-06 09:00:00,SENS004,质检区,23.3,48.9,40.2,PM2.5超标
2025-04-06 09:00:00,SENS005,生产区A,27.0,45.2,38.6,PM2.5超标
2025-04-06 09:00:00,SENS006,质检区,26.7,44.6,16.8,正常
2025-04-06 09:00:00,SENS007,质检区,24.7,48.9,25.3,正常
2025-04-06 09:00:00,SENS008,生产区B,23.2,46.0,41.8,PM2.5超标
2025-04-06 10:00:00,SENS001,生产区B,23.4,45.6,33.0,正常
2025-04-06 10:00:00,SENS002,生产区A,27.7,43.4,29.5,正常
2025-04-06 10:00:00,SENS003,生产区A,27.9,50.3,29.3,正常
2025-04-06 10:00:00,SENS004,质检区,23.1,45.1,36.0,PM2.5超标
2025-04-06 10:00:00,SENS005,生产区A,27.1,42.6,37.4,PM2.5超标
2025-04-06 10:00:00,SENS006,质检区,25.4,50.1,18.0,正常
2025-04-06 10:00:00,SENS007,质检区,26.0,50.7,39.6,PM2.5超标
2025-04-06 10:00:00,SENS008,生产区B,22.6,44.9,25.7,正常
2025-04-06 11:00:00,SENS001,生产区B,23.7,45.2,20.8,正常
2025-04-06 11:00:00,SENS002,生产区A,26.1,42.3,36.4,PM2.5超标
2025-04-06 11:00:00,SENS003,生产区A,25.6,49.0,15.2,正常
2025-04-06 11:00:00,SENS004,质检区,24.7,42.7,45.6,PM2.5超标
2025-04-06 11:00:00,SENS005,生产区A,26.2,43.9,40.4,PM2.5超标
2025-04-06 11:00:00,SENS006,质检区,24.9,43.6,48.5,PM2.5超标
2025-04-06 11:00:00,SENS007,质检区,23.9,46.9,25.0,正常
2025-04-06 11:00:00,SENS008,生产区B,24.2,49.9,41.9,PM2.5超标
2025-04-06 12:00:00,SENS001,生产区B,22.5,41.3,43.0,PM2.5超标
2025-04-06 12:00:00,SENS002,生产区A,26.8,43.3,34.3,正常
2025-04-06 12:00:00,SENS003,生产区A,26.9,45.5,25.5,正常
2025-04-06 12:00:00,SENS004,质检区,23.2,43.5,17.2,正常
2025-04-06 12:00:00,SENS005,生产区A,26.3,42.5,31.6,正常
2025-04-06 12:00:00,SENS006,质检区,24.7,47.2,42.5,PM2.5超标
2025-04-06 12:00:00,SENS007,质检区,21.8,49.8,27.2,正常
2025-04-06 12:00:00,SENS008,生产区B,21.6,40.9,23.4,正常
2025-04-06 13:00:00,SENS001,生产区B,23.9,44.4,10.3,正常
2025-04-06 13:00:00,SENS002,生产区A,24.6,44.9,31.0,正常
2025-04-06 13:00:00,SENS003,生产区A,25.3,43.9,18.3,正常
2025-04-06 13:00:00,SENS004,质检区,23.1,49.7,45.6,PM2.5超标
2025-04-06 13:00:00,SENS005,生产区A,25.2,46.5,24.9,正常
2025-04-06 13:00:00,SENS006,质检区,21.7,41.3,38.9,PM2.5超标
2025-04-06 13:00:00,SENS007,质检区,22.9,45.1,10.7,正常
2025-04-06 13:00:00,SENS008,生产区B,20.3,42.2,18.4,正常
2025-04-06 14:00:00,SENS001,生产区B,22.3,50.3,39.6,PM2.5超标
2025-04-06 14:00:00,SENS002,生产区A,26.5,43.9,43.4,PM2.5超标
2025-04-06 14:00:00,SENS003,生产区A,24.8,49.8,48.4,PM2.5超标
2025-04-06 14:00:00,SENS004,质检区,20.0,44.9,42.1,PM2.5超标
2025-04-06 14:00:00,SENS005,生产区A,26.4,46.3,45.8,PM2.5超标
2025-04-06 14:00:00,SENS006,质检区,19.7,43.6,49.8,PM2.5超标
2025-04-06 14:00:00,SENS007,质检区,22.1,41.5,20.9,正常
2025-04-06 14:00:00,SENS008,生产区B,22.8,47.9,31.1,正常
2025-04-06 15:00:00,SENS001,生产区B,21.7,49.9,11.9,正常
2025-04-06 15:00:00,SENS002,生产区A,25.0,52.0,24.6,正常
2025-04-06 15:00:00,SENS003,生产区A,24.8,45.2,37.1,PM2.5超标
2025-04-06 15:00:00,SENS004,质检区,21.9,48.9,48.6,PM2.5超标
2025-04-06 15:00:00,SENS005,生产区A,23.9,44.8,19.6,正常
2025-04-06 15:00:00,SENS006,质检区,19.5,43.7,48.0,PM2.5超标
2025-04-06 15:00:00,SENS007,质检区,22.2,52.7,15.7,正常
2025-04-06 15:00:00,SENS008,生产区B,19.5,44.0,46.0,PM2.5超标
2025-04-06 16:00:00,SENS001,生产区B,19.6,51.7,31.8,正常
2025-04-06 16:00:00,SENS002,生产区A,22.1,53.2,19.3,正常
2025-04-06 16:00:00,SENS003,生产区A,23.6,47.3,43.7,PM2.5超标
2025-04-06 16:00:00,SENS004,质检区,19.2,49.4,44.9,PM2.5超标
2025-04-06 16:00:00,SENS005,生产区A,24.9,50.3,16.6,正常
2025-04-06 16:00:00,SENS006,质检区,20.0,50.1,48.4,PM2.5超标
2025-04-06 16:00:00,SENS007,质检区,20.4,48.5,28.4,正常
2025-04-06 16:00:00,SENS008,生产区B,21.9,49.7,41.4,PM2.5超标
2025-04-06 17:00:00,SENS001,生产区B,18.6,55.2,40.8,PM2.5超标
2025-04-06 17:00:00,SENS002,生产区A,22.6,56.0,45.6,PM2.5超标
2025-04-06 17:00:00,SENS003,生产区A,21.5,48.2,11.9,正常
2025-04-06 17:00:00,SENS004,质检区,19.0,57.4,22.7,正常
2025-04-06 17:00:00,SENS005,生产区A,23.1,56.7,40.5,PM2.5超标
2025-04-06 17:00:00,SENS006,质检区,22.0,51.4,36.1,PM2.5超标
2025-04-06 17:00:00,SENS007,质检区,19.8,56.3,44.2,PM2.5超标
2025-04-06 17:00:00,SENS008,生产区B,21.7,52.6,20.3,正常
2025-04-06 18:00:00,SENS001,生产区B,20.0,59.5,20.4,正常
2025-04-06 18:00:00,SENS002,生产区A,21.7,59.8,45.8,PM2.5超标
2025-04-06 18:00:00,SENS003,生产区A,23.5,56.3,28.9,正常
2025-04-06 18:00:00,SENS004,质检区,18.5,57.3,26.8,正常
2025-04-06 18:00:00,SENS005,生产区A,21.7,51.0,16.3,正常
2025-04-06 18:00:00,SENS006,质检区,21.5,59.0,42.0,PM2.5超标
2025-04-06 18:00:00,SENS007,质检区,18.4,51.2,38.9,PM2.5超标
2025-04-06 18:00:00,SENS008,生产区B,20.3,56.5,18.9,正常
2025-04-06 19:00:00,SENS001,生产区B,19.5,58.3,48.0,PM2.5超标
2025-04-06 19:00:00,SENS002,生产区A,21.2,58.5,21.3,正常
2025-04-06 19:00:00,SENS003,生产区A,23.1,61.6,19.8,正常
2025-04-06 19:00:00,SENS004,质检区,18.8,61.2,48.1,PM2.5超标
2025-04-06 19:00:00,SENS005,生产区A,23.0,55.7,20.9,正常
2025-04-06 19:00:00,SENS006,质检区,21.1,59.2,38.5,PM2.5超标
2025-04-06 19:00:00,SENS007,质检区,20.0,55.6,32.5,正常
2025-04-06 19:00:00,SENS008,生产区B,20.5,57.3,30.0,正常
2025-04-06 20:00:00,SENS001,生产区B,21.6,57.0,27.4,正常
2025-04-06 20:00:00,SENS002,生产区A,23.6,58.9,14.0,正常
2025-04-06 20:00:00,SENS003,生产区A,23.5,63.9,46.7,PM2.5超标
2025-04-06 20:00:00,SENS004,质检区,20.6,64.7,24.6,正常
2025-04-06 20:00:00,SENS005,生产区A,24.4,57.3,37.8,PM2.5超标
2025-04-06 20:00:00,SENS006,质检区,18.7,60.0,12.7,正常
2025-04-06 20:00:00,SENS007,质检区,18.8,60.6,41.8,PM2.5超标
2025-04-06 20:00:00,SENS008,生产区B,20.3,55.2,25.1,正常
2025-04-06 21:00:00,SENS001,生产区B,21.7,65.4,28.7,正常
2025-04-06 21:00:00,SENS002,生产区A,25.4,63.8,20.3,正常
2025-04-06 21:00:00,SENS003,生产区A,22.1,66.9,28.3,正常
2025-04-06 21:00:00,SENS004,质检区,22.1,61.7,44.2,PM2.5超标
2025-04-06 21:00:00,SENS005,生产区A,25.3,59.0,42.2,PM2.5超标
2025-04-06 21:00:00,SENS006,质检区,20.5,60.0,48.0,PM2.5超标
2025-04-06 21:00:00,SENS007,质检区,20.2,57.8,34.6,正常
2025-04-06 21:00:00,SENS008,生产区B,19.0,61.8,11.6,正常
2025-04-06 22:00:00,SENS001,生产区B,23.3,62.3,33.6,正常
2025-04-06 22:00:00,SENS002,生产区A,25.2,62.7,33.3,正常
2025-04-06 22:00:00,SENS003,生产区A,24.3,62.3,44.8,PM2.5超标
2025-04-06 22:00:00,SENS004,质检区,21.1,66.0,13.3,正常
2025-04-06 22:00:00,SENS005,生产区A,25.7,67.1,10.5,正常
2025-04-06 22:00:00,SENS006,质检区,20.3,65.5,30.7,正常
2025-04-06 22:00:00,SENS007,质检区,21.3,65.6,39.4,PM2.5超标
2025-04-06 22:00:00,SENS008,生产区B,22.6,59.1,41.9,PM2.5超标
2025-04-06 23:00:00,SENS001,生产区B,20.9,60.6,44.9,PM2.5超标
2025-04-06 23:00:00,SENS002,生产区A,25.8,62.4,14.4,正常
2025-04-06 23:00:00,SENS003,生产区A,25.7,62.8,22.2,正常
2025-04-06 23:00:00,SENS004,质检区,20.7,66.5,17.8,正常
2025-04-06 23:00:00,SENS005,生产区A,24.6,63.2,40.0,PM2.5超标
2025-04-06 23:00:00,SENS006,质检区,22.5,60.5,22.1,正常
2025-04-06 23:00:00,SENS007,质检区,20.3,63.6,36.7,PM2.5超标
2025-04-06 23:00:00,SENS008,生产区B,20.3,62.4,38.9,PM2.5超标
2025-04-07 00:00:00,SENS001,生产区B,24.5,68.6,31.7,正常
2025-04-07 00:00:00,SENS002,生产区A,27.8,62.2,23.6,正常
2025-04-07 00:00:00,SENS003,生产区A,25.6,68.6,47.8,PM2.5超标
2025-04-07 00:00:00,SENS004,质检区,24.5,67.4,10.5,正常
2025-04-07 00:00:00,SENS005,生产区A,27.6,69.0,21.0,正常
2025-04-07 00:00:00,SENS006,质检区,24.4,69.7,22.4,正常
2025-04-07 00:00:00,SENS007,质检区,21.8,67.9,11.8,正常
2025-04-07 00:00:00,SENS008,生产区B,21.6,68.2,42.1,PM2.5超标
2025-04-07 01:00:00,SENS001,生产区B,22.0,68.3,32.2,正常
2025-04-07 01:00:00,SENS002,生产区A,25.9,66.2,25.0,正常
2025-04-07 01:00:00,SENS003,生产区A,25.6,63.5,29.1,正常
2025-04-07 01:00:00,SENS004,质检区,22.0,63.1,11.7,正常
2025-04-07 01:00:00,SENS005,生产区A,26.3,65.4,18.9,正常
2025-04-07 01:00:00,SENS006,质检区,23.7,68.1,23.6,正常
2025-04-07 01:00:00,SENS007,质检区,22.6,67.1,37.1,PM2.5超标
2025-04-07 01:00:00,SENS008,生产区B,22.1,67.8,10.5,正常
2025-04-07 02:00:00,SENS001,生产区B,25.1,60.4,38.0,PM2.5超标
2025-04-07 02:00:00,SENS002,生产区A,26.6,61.8,31.9,正常
2025-04-07 02:00:00,SENS003,生产区A,28.8,63.1,10.4,温度偏高
2025-04-07 02:00:00,SENS004,质检区,24.3,67.5,36.8,PM2.5超标
2025-04-07 02:00:00,SENS005,生产区A,26.7,65.5,29.1,正常
2025-04-07 02:00:00,SENS006,质检区,25.0,61.4,38.9,PM2.5超标
2025-04-07 02:00:00,SENS007,质检区,23.2,63.5,39.3,PM2.5超标
2025-04-07 02:00:00,SENS008,生产区B,22.9,68.1,37.7,PM2.5超标
2025-04-07 03:00:00,SENS001,生产区B,25.8,60.7,13.9,正常
2025-04-07 03:00:00,SENS002,生产区A,29.3,67.1,15.3,温度偏高
2025-04-07 03:00:00,SENS003,生产区A,30.0,60.8,49.9,温度偏高|PM2.5超标
2025-04-07 03:00:00,SENS004,质检区,24.7,61.6,36.1,PM2.5超标
2025-04-07 03:00:00,SENS005,生产区A,26.1,57.4,44.9,PM2.5超标
2025-04-07 03:00:00,SENS006,质检区,24.7,67.1,34.7,正常
2025-04-07 03:00:00,SENS007,质检区,24.8,60.3,27.9,正常
2025-04-07 03:00:00,SENS008,生产区B,26.4,65.8,25.2,正常
2025-04-07 04:00:00,SENS001,生产区B,27.3,57.8,49.8,PM2.5超标
2025-04-07 04:00:00,SENS002,生产区A,27.9,59.7,24.7,正常
2025-04-07 04:00:00,SENS003,生产区A,29.6,55.4,47.1,温度偏高|PM2.5超标
2025-04-07 04:00:00,SENS004,质检区,26.6,64.9,39.9,PM2.5超标
2025-04-07 04:00:00,SENS005,生产区A,29.9,62.1,35.8,温度偏高|PM2.5超标
2025-04-07 04:00:00,SENS006,质检区,26.0,63.9,17.0,正常
2025-04-07 04:00:00,SENS007,质检区,25.5,58.9,33.0,正常
2025-04-07 04:00:00,SENS008,生产区B,27.2,56.4,23.0,正常
2025-04-07 05:00:00,SENS001,生产区B,25.1,61.7,46.4,PM2.5超标
2025-04-07 05:00:00,SENS002,生产区A,29.7,59.4,16.3,温度偏高
2025-04-07 05:00:00,SENS003,生产区A,30.6,54.2,37.9,温度偏高|PM2.5超标
2025-04-07 05:00:00,SENS004,质检区,24.4,55.9,12.8,正常
2025-04-07 05:00:00,SENS005,生产区A,29.2,58.5,18.7,温度偏高
2025-04-07 05:00:00,SENS006,质检区,24.6,58.1,24.2,正常
2025-04-07 05:00:00,SENS007,质检区,24.0,61.9,40.9,PM2.5超标
2025-04-07 05:00:00,SENS008,生产区B,25.5,58.8,29.6,正常
2025-04-07 06:00:00,SENS001,生产区B,25.4,57.7,33.2,正常
2025-04-07 06:00:00,SENS002,生产区A,30.3,55.4,17.4,温度偏高
2025-04-07 06:00:00,SENS003,生产区A,29.3,56.6,35.2,温度偏高|PM2.5超标
2025-04-07 06:00:00,SENS004,质检区,27.1,51.1,10.5,正常
2025-04-07 06:00:00,SENS005,生产区A,28.5,57.6,49.4,温度偏高|PM2.5超标
2025-04-07 06:00:00,SENS006,质检区,24.3,51.3,48.6,PM2.5超标
2025-04-07 06:00:00,SENS007,质检区,24.4,55.8,16.5,正常
2025-04-07 06:00:00,SENS008,生产区B,25.8,50.2,36.8,PM2.5超标
2025-04-07 07:00:00,SENS001,生产区B,26.1,49.0,27.5,正常
2025-04-07 07:00:00,SENS002,生产区A,27.8,56.6,37.5,PM2.5超标
2025-04-07 07:00:00,SENS003,生产区A,29.5,57.3,16.6,温度偏高
2025-04-07 07:00:00,SENS004,质检区,24.1,50.1,46.8,PM2.5超标
2025-04-07 07:00:00,SENS005,生产区A,28.3,51.1,21.4,温度偏高
2025-04-07 07:00:00,SENS006,质检区,24.8,48.3,18.2,正常
2025-04-07 07:00:00,SENS007,质检区,26.3,47.6,42.8,PM2.5超标
2025-04-07 07:00:00,SENS008,生产区B,26.5,50.5,21.8,正常
2025-04-07 08:00:00,SENS001,生产区B,27.4,47.0,34.1,正常
2025-04-07 08:00:00,SENS002,生产区A,28.9,54.2,38.2,温度偏高|PM2.5超标
2025-04-07 08:00:00,SENS003,生产区A,27.4,50.1,20.1,正常
2025-04-07 08:00:00,SENS004,质检区,23.8,47.8,33.4,正常
2025-04-07 08:00:00,SENS005,生产区A,27.9,49.1,41.2,PM2.5超标
2025-04-07 08:00:00,SENS006,质检区,26.3,50.9,47.5,PM2.5超标
2025-04-07 08:00:00,SENS007,质检区,23.8,50.0,26.2,正常
2025-04-07 08:00:00,SENS008,生产区B,25.1,54.7,48.3,PM2.5超标
2025-04-07 09:00:00,SENS001,生产区B,23.5,46.7,20.7,正常
2025-04-07 09:00:00,SENS002,生产区A,29.2,44.0,33.3,温度偏高
2025-04-07 09:00:00,SENS003,生产区A,28.1,47.9,14.8,温度偏高
2025-04-07 09:00:00,SENS004,质检区,25.1,48.6,31.7,正常
2025-04-07 09:00:00,SENS005,生产区A,28.3,47.2,30.5,温度偏高
2025-04-07 09:00:00,SENS006,质检区,24.0,52.7,48.1,PM2.5超标
2025-04-07 09:00:00,SENS007,质检区,23.9,50.4,11.8,正常
2025-04-07 09:00:00,SENS008,生产区B,26.1,48.8,43.4,PM2.5超标
2025-04-07 10:00:00,SENS001,生产区B,24.6,45.6,37.5,PM2.5超标
2025-04-07 10:00:00,SENS002,生产区A,26.9,43.8,42.3,PM2.5超标
2025-04-07 10:00:00,SENS003,生产区A,26.8,47.1,40.1,PM2.5超标
2025-04-07 10:00:00,SENS004,质检区,24.3,43.2,45.4,PM2.5超标
2025-04-07 10:00:00,SENS005,生产区A,29.2,44.5,19.1,温度偏高
2025-04-07 10:00:00,SENS006,质检区,25.6,44.6,43.8,PM2.5超标
2025-04-07 10:00:00,SENS007,质检区,23.4,44.0,26.0,正常
2025-04-07 10:00:00,SENS008,生产区B,23.1,42.8,16.7,正常
2025-04-07 11:00:00,SENS001,生产区B,24.0,40.9,48.1,PM2.5超标
2025-04-07 11:00:00,SENS002,生产区A,25.9,44.3,35.0,正常
2025-04-07 11:00:00,SENS003,生产区A,26.3,47.7,44.5,PM2.5超标
2025-04-07 11:00:00,SENS004,质检区,25.1,44.3,24.1,正常
2025-04-07 11:00:00,SENS005,生产区A,27.7,47.5,32.8,正常
2025-04-07 11:00:00,SENS006,质检区,22.5,45.1,33.1,正常
2025-04-07 11:00:00,SENS007,质检区,22.6,42.7,40.5,PM2.5超标
2025-04-07 11:00:00,SENS008,生产区B,24.2,41.6,21.1,正常
2025-04-07 12:00:00,SENS001,生产区B,22.3,46.2,18.3,正常
2025-04-07 12:00:00,SENS002,生产区A,24.3,45.6,23.1,正常
2025-04-07 12:00:00,SENS003,生产区A,24.0,44.5,17.8,正常
2025-04-07 12:00:00,SENS004,质检区,24.1,43.6,39.5,PM2.5超标
2025-04-07 12:00:00,SENS005,生产区A,27.9,42.0,43.5,PM2.5超标
2025-04-07 12:00:00,SENS006,质检区,24.1,43.9,34.2,正常
2025-04-07 12:00:00,SENS007,质检区,21.2,41.4,12.8,正常
2025-04-07 12:00:00,SENS008,生产区B,24.2,49.6,40.2,PM2.5超标
2025-04-07 13:00:00,SENS001,生产区B,22.1,47.8,17.2,正常
2025-04-07 13:00:00,SENS002,生产区A,24.1,47.1,40.6,PM2.5超标
2025-04-07 13:00:00,SENS003,生产区A,24.7,42.0,12.1,正常
2025-04-07 13:00:00,SENS004,质检区,23.0,47.3,11.0,正常
2025-04-07 13:00:00,SENS005,生产区A,23.9,50.1,10.2,正常
2025-04-07 13:00:00,SENS006,质检区,20.8,43.8,45.8,PM2.5超标
2025-04-07 13:00:00,SENS007,质检区,21.8,44.6,48.6,PM2.5超标
2025-04-07 13:00:00,SENS008,生产区B,22.2,47.9,29.7,正常
2025-04-07 14:00:00,SENS001,生产区B,22.6,44.7,10.7,正常
2025-04-07 14:00:00,SENS002,生产区A,24.4,47.7,13.7,正常
2025-04-07 14:00:00,SENS003,生产区A,23.5,50.4,31.0,正常
2025-04-07 14:00:00,SENS004,质检区,20.0,41.5,37.3,PM2.5超标
2025-04-07 14:00:00,SENS005,生产区A,24.1,42.2,41.7,PM2.5超标
2025-04-07 14:00:00,SENS006,质检区,22.2,42.4,29.9,正常
2025-04-07 14:00:00,SENS007,质检区,21.0,46.2,36.7,PM2.5超标
2025-04-07 14:00:00,SENS008,生产区B,19.6,46.7,41.6,PM2.5超标
2025-04-07 15:00:00,SENS001,生产区B,21.5,50.0,41.5,PM2.5超标
2025-04-07 15:00:00,SENS002,生产区A,25.5,51.0,34.5,正常
2025-04-07 15:00:00,SENS003,生产区A,25.6,43.0,18.7,正常
2025-04-07 15:00:00,SENS004,质检区,22.6,43.3,10.5,正常
2025-04-07 15:00:00,SENS005,生产区A,22.6,46.4,29.2,正常
2025-04-07 15:00:00,SENS006,质检区,20.1,51.4,28.7,正常
2025-04-07 15:00:00,SENS007,质检区,19.4,43.6,46.9,PM2.5超标
2025-04-07 15:00:00,SENS008,生产区B,22.8,50.9,17.3,正常
2025-04-07 16:00:00,SENS001,生产区B,21.8,49.0,18.5,正常
2025-04-07 16:00:00,SENS002,生产区A,22.1,53.1,28.2,正常
2025-04-07 16:00:00,SENS003,生产区A,22.9,52.6,16.6,正常
2025-04-07 16:00:00,SENS004,质检区,19.2,49.8,23.5,正常
2025-04-07 16:00:00,SENS005,生产区A,23.9,50.8,31.7,正常
2025-04-07 16:00:00,SENS006,质检区,19.8,52.8,14.1,正常
2025-04-07 16:00:00,SENS007,质检区,20.6,52.7,13.6,正常
2025-04-07 16:00:00,SENS008,生产区B,18.5,48.0,29.1,正常
2025-04-07 17:00:00,SENS001,生产区B,20.2,48.0,36.7,PM2.5超标
2025-04-07 17:00:00,SENS002,生产区A,23.2,56.0,41.9,PM2.5超标
2025-04-07 17:00:00,SENS003,生产区A,23.3,53.1,38.6,PM2.5超标
2025-04-07 17:00:00,SENS004,质检区,19.6,55.9,49.2,PM2.5超标
2025-04-07 17:00:00,SENS005,生产区A,22.9,50.2,11.2,正常
2025-04-07 17:00:00,SENS006,质检区,19.5,51.8,11.4,正常
2025-04-07 17:00:00,SENS007,质检区,19.7,49.5,34.8,正常
2025-04-07 17:00:00,SENS008,生产区B,21.8,47.6,12.9,正常
2025-04-07 18:00:00,SENS001,生产区B,21.3,52.9,18.8,正常
2025-04-07 18:00:00,SENS002,生产区A,21.6,57.7,20.3,正常
2025-04-07 18:00:00,SENS003,生产区A,24.4,56.0,31.6,正常
2025-04-07 18:00:00,SENS004,质检区,21.0,54.5,34.4,正常
2025-04-07 18:00:00,SENS005,生产区A,21.1,53.2,49.2,PM2.5超标
2025-04-07 18:00:00,SENS006,质检区,20.4,50.1,22.1,正常
2025-04-07 18:00:00,SENS007,质检区,21.7,54.4,15.7,正常
2025-04-07 18:00:00,SENS008,生产区B,21.7,54.0,21.5,正常
2025-04-07 19:00:00,SENS001,生产区B,18.8,52.9,18.4,正常
2025-04-07 19:00:00,SENS002,生产区A,23.2,62.4,28.7,正常
2025-04-07 19:00:00,SENS003,生产区A,24.4,53.3,11.0,正常
2025-04-07 19:00:00,SENS004,质检区,21.4,54.1,48.3,PM2.5超标
