时间戳,设备ID,设备状态,总运行时间,故障持续时间,故障次数,振动值,温度,维护到期时间,上次维护时间,预警状态
2025-04-06 12:00:00,CNC002,运行中,10.0,0.0,0,0.18,20.7,2025-04-23,2025-03-27,正常
2025-04-06 13:00:00,CNC002,运行中,11.0,0.0,0,0.35,34.0,2025-04-23,2025-03-27,正常
2025-04-06 14:00:00,CNC002,运行中,12.0,0.0,0,0.4,28.3,2025-04-23,2025-03-27,正常
2025-04-06 15:00:00,CNC002,运行中,13.0,0.0,0,0.44,33.9,2025-04-23,2025-03-27,正常
2025-04-06 08:00:00,CNC003,待机,5.0,0.0,1,0.16,23.2,2025-04-27,2025-03-29,正常
2025-04-06 09:00:00,CNC003,运行中,6.0,0.0,1,0.43,29.1,2025-04-27,2025-03-29,正常
2025-04-06 10:00:00,CNC003,运行中,7.0,0.0,1,0.49,20.3,2025-04-27,2025-03-29,正常
2025-04-06 11:00:00,CNC003,运行中,8.0,0.0,1,0.42,27.9,2025-04-27,2025-03-29,正常
2025-04-06 12:00:00,CNC003,运行中,9.0,0.0,1,0.21,24.6,2025-04-27,2025-03-29,正常
2025-04-06 13:00:00,CNC003,故障,9.0,1.0,2,0.49,39.26,2025-04-27,2025-03-29,温度异常
2025-04-06 14:00:00,CNC003,运行中,10.0,0.0,2,0.11,22.6,2025-04-27,2025-03-29,正常
2025-04-06 15:00:00,CNC003,运行中,11.0,0.0,2,0.42,26.6,2025-04-27,2025-03-29,正常
2025-04-06 08:00:00,CNC004,待机,6.0,0.0,0,0.14,34.6,2025-04-22,2025-03-25,正常
2025-04-06 09:00:00,CNC004,运行中,7.0,0.0,0,0.48,30.0,2025-04-22,2025-03-25,正常
2025-04-06 10:00:00,CNC004,运行中,8.0,0.0,0,0.12,33.7,2025-04-22,2025-03-25,正常
2025-04-06 11:00:00,CNC004,故障,8.0,1.0,1,0.17,40.04,2025-04-22,2025-03-25,温度异常
2025-04-06 12:00:00,CNC004,运行中,9.0,0.0,1,0.27,31.4,2025-04-22,2025-03-25,正常
2025-04-06 13:00:00,CNC004,运行中,10.0,0.0,1,0.12,34.1,2025-04-22,2025-03-25,正常
2025-04-06 14:00:00,CNC004,运行中,11.0,0.0,1,0.27,34.5,2025-04-22,2025-03-25,正常
2025-04-06 15:00:00,CNC004,运行中,12.0,0.0,1,0.44,24.0,2025-04-22,2025-03-25,正常
2025-04-06 08:00:00,CNC005,运行中,9.0,0.0,0,0.26,34.2,2025-04-21,2025-04-01,正常
2025-04-06 09:00:00,CNC005,运行中,10.0,0.0,0,0.32,32.1,2025-04-21,2025-04-01,正常
2025-04-06 10:00:00,CNC005,运行中,11.0,0.0,0,0.39,25.6,2025-04-21,2025-04-01,正常
2025-04-06 11:00:00,CNC005,运行中,12.0,0.0,0,0.47,25.3,2025-04-21,2025-04-01,正常
2025-04-06 12:00:00,CNC005,运行中,13.0,0.0,0,0.31,24.8,2025-04-21,2025-04-01,正常
2025-04-06 13:00:00,CNC005,故障,13.0,1.0,1,0.41,20.5,2025-04-21,2025-04-01,正常
2025-04-06 14:00:00,CNC005,运行中,14.0,0.0,1,0.14,21.5,2025-04-21,2025-04-01,正常
2025-04-06 15:00:00,CNC005,运行中,15.0,0.0,1,0.3,28.3,2025-04-21,2025-04-01,正常
2025-04-06 16:00:00,CNC001,故障,14.0,1.0,1,0.35,26.8,2025-04-23,2025-03-27,正常
2025-04-06 17:00:00,CNC001,待机,14.0,0.0,1,0.12,33.5,2025-04-23,2025-03-27,正常
2025-04-06 18:00:00,CNC001,运行中,15.0,0.0,1,0.43,23.2,2025-04-23,2025-03-27,正常
2025-04-06 19:00:00,CNC001,运行中,16.0,0.0,1,0.31,29.4,2025-04-23,2025-03-27,正常
2025-04-06 20:00:00,CNC001,运行中,17.0,0.0,1,0.17,28.6,2025-04-23,2025-03-27,正常
2025-04-06 21:00:00,CNC001,运行中,18.0,0.0,1,0.49,20.1,2025-04-23,2025-03-27,正常
2025-04-06 22:00:00,CNC001,待机,18.0,0.0,1,0.25,23.7,2025-04-23,2025-03-27,正常
2025-04-06 23:00:00,CNC001,运行中,19.0,0.0,1,0.27,27.7,2025-04-23,2025-03-27,正常
2025-04-06 16:00:00,CNC002,运行中,14.0,0.0,0,0.28,28.9,2025-04-23,2025-03-27,正常
2025-04-06 17:00:00,CNC002,运行中,15.0,0.0,0,0.49,24.9,2025-04-23,2025-03-27,正常
2025-04-06 18:00:00,CNC002,运行中,16.0,0.0,0,0.2,32.6,2025-04-23,2025-03-27,正常
2025-04-06 19:00:00,CNC002,运行中,17.0,0.0,0,0.33,25.4,2025-04-23,2025-03-27,正常
2025-04-06 20:00:00,CNC002,运行中,18.0,0.0,0,0.11,29.6,2025-04-23,2025-03-27,正常
2025-04-06 21:00:00,CNC002,待机,18.0,0.0,0,0.3,26.8,2025-04-23,2025-03-27,正常
2025-04-06 22:00:00,CNC002,运行中,19.0,0.0,0,0.33,24.6,2025-04-23,2025-03-27,正常
2025-04-06 23:00:00,CNC002,运行中,20.0,0.0,0,0.48,33.0,2025-04-23,2025-03-27,正常
2025-04-06 16:00:00,CNC003,运行中,12.0,0.0,2,0.18,33.4,2025-04-27,2025-03-29,正常
2025-04-06 17:00:00,CNC003,运行中,13.0,0.0,2,0.42,26.5,2025-04-27,2025-03-29,正常
2025-04-06 18:00:00,CNC003,待机,13.0,0.0,2,0.36,21.8,2025-04-27,2025-03-29,正常
2025-04-06 19:00:00,CNC003,待机,13.0,0.0,2,0.32,21.2,2025-04-27,2025-03-29,正常
2025-04-06 20:00:00,CNC003,运行中,14.0,0.0,2,0.17,33.0,2025-04-27,2025-03-29,正常
2025-04-06 21:00:00,CNC003,运行中,15.0,0.0,2,0.22,29.6,2025-04-27,2025-03-29,正常
2025-04-06 22:00:00,CNC003,运行中,16.0,0.0,2,0.22,32.1,2025-04-27,2025-03-29,正常
2025-04-06 23:00:00,CNC003,待机,16.0,0.0,2,0.19,34.6,2025-04-27,2025-03-29,正常
2025-04-06 16:00:00,CNC004,运行中,13.0,0.0,1,0.48,27.4,2025-04-22,2025-03-25,正常
2025-04-06 17:00:00,CNC004,待机,13.0,0.0,1,0.11,21.5,2025-04-22,2025-03-25,正常
2025-04-06 18:00:00,CNC004,运行中,14.0,0.0,1,0.33,31.1,2025-04-22,2025-03-25,正常
2025-04-06 19:00:00,CNC004,待机,14.0,0.0,1,0.35,30.0,2025-04-22,2025-03-25,正常
2025-04-06 20:00:00,CNC004,运行中,15.0,0.0,1,0.22,34.1,2025-04-22,2025-03-25,正常
2025-04-06 21:00:00,CNC004,待机,15.0,0.0,1,0.19,25.6,2025-04-22,2025-03-25,正常
2025-04-06 22:00:00,CNC004,运行中,16.0,0.0,1,0.41,32.0,2025-04-22,2025-03-25,正常
2025-04-06 23:00:00,CNC004,运行中,17.0,0.0,1,0.24,27.9,2025-04-22,2025-03-25,正常
2025-04-06 16:00:00,CNC005,运行中,16.0,0.0,1,0.21,21.6,2025-04-21,2025-04-01,正常
2025-04-06 17:00:00,CNC005,运行中,17.0,0.0,1,0.11,30.4,2025-04-21,2025-04-01,正常
2025-04-06 18:00:00,CNC005,运行中,18.0,0.0,1,0.13,24.2,2025-04-21,2025-04-01,正常
2025-04-06 19:00:00,CNC005,运行中,19.0,0.0,1,0.2,24.2,2025-04-21,2025-04-01,正常
2025-04-06 20:00:00,CNC005,待机,19.0,0.0,1,0.29,31.7,2025-04-21,2025-04-01,正常
2025-04-06 21:00:00,CNC005,故障,19.0,1.0,2,0.76,29.6,2025-04-21,2025-04-01,振动异常
2025-04-06 22:00:00,CNC005,运行中,20.0,0.0,2,0.18,33.8,2025-04-21,2025-04-01,正常
2025-04-06 23:00:00,CNC005,运行中,21.0,0.0,2,0.27,33.8,2025-04-21,2025-04-01,正常
2025-04-07 00:00:00,CNC001,运行中,20.0,0.0,1,0.45,34.3,2025-04-23,2025-03-27,正常
2025-04-07 01:00:00,CNC001,运行中,21.0,0.0,1,0.15,31.4,2025-04-23,2025-03-27,正常
2025-04-07 02:00:00,CNC001,运行中,22.0,0.0,1,0.42,31.3,2025-04-23,2025-03-27,正常
2025-04-07 03:00:00,CNC001,运行中,23.0,0.0,1,0.34,29.5,2025-04-23,2025-03-27,正常
2025-04-07 04:00:00,CNC001,运行中,24.0,0.0,1,0.23,26.4,2025-04-23,2025-03-27,正常
2025-04-07 05:00:00,CNC001,运行中,25.0,0.0,1,0.16,20.2,2025-04-23,2025-03-27,正常
2025-04-07 06:00:00,CNC001,故障,25.0,1.0,2,0.17,32.11,2025-04-23,2025-03-27,正常
2025-04-07 07:00:00,CNC001,故障,25.0,1.0,3,0.38,30.419999999999998,2025-04-23,2025-03-27,正常
2025-04-07 00:00:00,CNC002,运行中,21.0,0.0,0,0.41,22.1,2025-04-23,2025-03-27,正常
2025-04-07 01:00:00,CNC002,运行中,22.0,0.0,0,0.33,33.4,2025-04-23,2025-03-27,正常
2025-04-07 02:00:00,CNC002,运行中,23.0,0.0,0,0.38,24.3,2025-04-23,2025-03-27,正常
2025-04-07 03:00:00,CNC002,运行中,24.0,0.0,0,0.1,29.8,2025-04-23,2025-03-27,正常
2025-04-07 04:00:00,CNC002,运行中,25.0,0.0,0,0.26,32.5,2025-04-23,2025-03-27,正常
2025-04-07 05:00:00,CNC002,运行中,26.0,0.0,0,0.46,22.7,2025-04-23,2025-03-27,正常
2025-04-07 06:00:00,CNC002,运行中,27.0,0.0,0,0.33,31.2,2025-04-23,2025-03-27,正常
2025-04-07 07:00:00,CNC002,待机,27.0,0.0,0,0.49,34.0,2025-04-23,2025-03-27,正常
2025-04-07 00:00:00,CNC003,运行中,17.0,0.0,2,0.28,32.3,2025-04-27,2025-03-29,正常
2025-04-07 01:00:00,CNC003,运行中,18.0,0.0,2,0.36,33.0,2025-04-27,2025-03-29,正常
2025-04-07 02:00:00,CNC003,运行中,19.0,0.0,2,0.21,31.1,2025-04-27,2025-03-29,正常
2025-04-07 03:00:00,CNC003,运行中,20.0,0.0,2,0.24,32.4,2025-04-27,2025-03-29,正常
2025-04-07 04:00:00,CNC003,运行中,21.0,0.0,2,0.32,28.2,2025-04-27,2025-03-29,正常
2025-04-07 05:00:00,CNC003,待机,21.0,0.0,2,0.18,24.2,2025-04-27,2025-03-29,正常
2025-04-07 06:00:00,CNC003,运行中,22.0,0.0,2,0.31,23.5,2025-04-27,2025-03-29,正常
2025-04-07 07:00:00,CNC003,运行中,23.0,0.0,2,0.12,30.8,2025-04-27,2025-03-29,正常
2025-04-07 00:00:00,CNC004,待机,17.0,0.0,1,0.13,28.2,2025-04-22,2025-03-25,正常
2025-04-07 01:00:00,CNC004,运行中,18.0,0.0,1,0.27,31.8,2025-04-22,2025-03-25,正常
2025-04-07 02:00:00,CNC004,运行中,19.0,0.0,1,0.11,22.5,2025-04-22,2025-03-25,正常
2025-04-07 03:00:00,CNC004,运行中,20.0,0.0,1,0.14,34.4,2025-04-22,2025-03-25,正常
2025-04-07 04:00:00,CNC004,运行中,21.0,0.0,1,0.41,26.6,2025-04-22,2025-03-25,正常
2025-04-07 05:00:00,CNC004,运行中,22.0,0.0,1,0.4,34.8,2025-04-22,2025-03-25,正常
2025-04-07 06:00:00,CNC004,运行中,23.0,0.0,1,0.44,20.6,2025-04-22,2025-03-25,正常
2025-04-07 07:00:00,CNC004,运行中,24.0,0.0,1,0.48,29.9,2025-04-22,2025-03-25,正常
2025-04-07 00:00:00,CNC005,运行中,22.0,0.0,2,0.25,29.4,2025-04-21,2025-04-01,正常
2025-04-07 01:00:00,CNC005,运行中,23.0,0.0,2,0.33,25.1,2025-04-21,2025-04-01,正常
2025-04-07 02:00:00,CNC005,运行中,24.0,0.0,2,0.35,21.4,2025-04-21,2025-04-01,正常
2025-04-07 03:00:00,CNC005,运行中,25.0,0.0,2,0.44,27.4,2025-04-21,2025-04-01,正常
2025-04-07 04:00:00,CNC005,运行中,26.0,0.0,2,0.26,31.0,2025-04-21,2025-04-01,正常
2025-04-07 05:00:00,CNC005,运行中,27.0,0.0,2,0.47,21.9,2025-04-21,2025-04-01,正常
2025-04-07 06:00:00,CNC005,故障,27.0,1.0,3,0.39,28.1,2025-04-21,2025-04-01,正常
2025-04-07 07:00:00,CNC005,运行中,28.0,0.0,3,0.35,20.9,2025-04-21,2025-04-01,正常
2025-04-07 08:00:00,CNC001,运行中,26.0,0.0,3,0.4,29.6,2025-04-23,2025-03-27,正常
2025-04-07 09:00:00,CNC001,运行中,27.0,0.0,3,0.2,31.5,2025-04-23,2025-03-27,正常
2025-04-07 10:00:00,CNC001,运行中,28.0,0.0,3,0.16,29.7,2025-04-23,2025-03-27,正常
2025-04-07 11:00:00,CNC001,运行中,29.0,0.0,3,0.28,22.0,2025-04-23,2025-03-27,正常
2025-04-07 12:00:00,CNC001,运行中,30.0,0.0,3,0.41,26.3,2025-04-23,2025-03-27,正常
2025-04-07 13:00:00,CNC001,运行中,31.0,0.0,3,0.41,23.9,2025-04-23,2025-03-27,正常
2025-04-07 14:00:00,CNC001,运行中,32.0,0.0,3,0.26,28.2,2025-04-23,2025-03-27,正常
2025-04-07 15:00:00,CNC001,运行中,33.0,0.0,3,0.17,34.4,2025-04-23,2025-03-27,正常
2025-04-07 08:00:00,CNC002,运行中,28.0,0.0,0,0.45,25.3,2025-04-23,2025-03-27,正常
2025-04-07 09:00:00,CNC002,运行中,29.0,0.0,0,0.15,24.9,2025-04-23,2025-03-27,正常
2025-04-07 10:00:00,CNC002,运行中,30.0,0.0,0,0.2,27.3,2025-04-23,2025-03-27,正常
2025-04-07 11:00:00,CNC002,运行中,31.0,0.0,0,0.3,25.6,2025-04-23,2025-03-27,正常
2025-04-07 12:00:00,CNC002,运行中,32.0,0.0,0,0.49,30.6,2025-04-23,2025-03-27,正常
2025-04-07 13:00:00,CNC002,运行中,33.0,0.0,0,0.43,31.3,2025-04-23,2025-03-27,正常
2025-04-07 14:00:00,CNC002,运行中,34.0,0.0,0,0.46,33.1,2025-04-23,2025-03-27,正常
2025-04-07 15:00:00,CNC002,运行中,35.0,0.0,0,0.41,29.3,2025-04-23,2025-03-27,正常
2025-04-07 08:00:00,CNC003,运行中,24.0,0.0,2,0.42,26.2,2025-04-27,2025-03-29,正常
2025-04-07 09:00:00,CNC003,运行中,25.0,0.0,2,0.17,24.5,2025-04-27,2025-03-29,正常
2025-04-07 10:00:00,CNC003,运行中,26.0,0.0,2,0.17,26.8,2025-04-27,2025-03-29,正常
2025-04-07 11:00:00,CNC003,运行中,27.0,0.0,2,0.24,29.8,2025-04-27,2025-03-29,正常
2025-04-07 12:00:00,CNC003,运行中,28.0,0.0,2,0.43,34.5,2025-04-27,2025-03-29,正常
2025-04-07 13:00:00,CNC003,运行中,29.0,0.0,2,0.24,24.7,2025-04-27,2025-03-29,正常
2025-04-07 14:00:00,CNC003,运行中,30.0,0.0,2,0.47,30.8,2025-04-27,2025-03-29,正常
2025-04-07 15:00:00,CNC003,运行中,31.0,0.0,2,0.46,24.4,2025-04-27,2025-03-29,正常
2025-04-07 08:00:00,CNC004,运行中,25.0,0.0,1,0.46,33.4,2025-04-22,2025-03-25,正常
2025-04-07 09:00:00,CNC004,运行中,26.0,0.0,1,0.39,20.2,2025-04-22,2025-03-25,正常
2025-04-07 10:00:00,CNC004,运行中,27.0,0.0,1,0.5,23.0,2025-04-22,2025-03-25,正常
2025-04-07 11:00:00,CNC004,运行中,28.0,0.0,1,0.45,22.2,2025-04-22,2025-03-25,正常
2025-04-07 12:00:00,CNC004,运行中,29.0,0.0,1,0.3,25.2,2025-04-22,2025-03-25,正常
2025-04-07 13:00:00,CNC004,运行中,30.0,0.0,1,0.37,28.3,2025-04-22,2025-03-25,正常
2025-04-07 14:00:00,CNC004,运行中,31.0,0.0,1,0.43,32.7,2025-04-22,2025-03-25,正常
2025-04-07 15:00:00,CNC004,待机,31.0,0.0,1,0.42,35.0,2025-04-22,2025-03-25,正常
2025-04-07 08:00:00,CNC005,运行中,29.0,0.0,3,0.47,32.9,2025-04-21,2025-04-01,正常
2025-04-07 09:00:00,CNC005,运行中,30.0,0.0,3,0.17,33.1,2025-04-21,2025-04-01,正常
2025-04-07 10:00:00,CNC005,运行中,31.0,0.0,3,0.23,23.5,2025-04-21,2025-04-01,正常
2025-04-07 11:00:00,CNC005,运行中,32.0,0.0,3,0.24,31.8,2025-04-21,2025-04-01,正常
2025-04-07 12:00:00,CNC005,待机,32.0,0.0,3,0.48,26.0,2025-04-21,2025-04-01,正常
2025-04-07 13:00:00,CNC005,运行中,33.0,0.0,3,0.38,20.7,2025-04-21,2025-04-01,正常
2025-04-07 14:00:00,CNC005,运行中,34.0,0.0,3,0.31,34.1,2025-04-21,2025-04-01,正常
2025-04-07 15:00:00,CNC005,待机,34.0,0.0,3,0.36,25.1,2025-04-21,2025-04-01,正常
2025-04-07 16:00:00,CNC001,运行中,34.0,0.0,3,0.1,20.4,2025-04-23,2025-03-27,正常
2025-04-07 17:00:00,CNC001,运行中,35.0,0.0,3,0.31,24.2,2025-04-23,2025-03-27,正常
2025-04-07 18:00:00,CNC001,运行中,36.0,0.0,3,0.2,27.8,2025-04-23,2025-03-27,正常
2025-04-07 19:00:00,CNC001,运行中,37.0,0.0,3,0.3,33.8,2025-04-23,2025-03-27,正常
2025-04-07 20:00:00,CNC001,运行中,38.0,0.0,3,0.43,31.6,2025-04-23,2025-03-27,正常
2025-04-07 21:00:00,CNC001,运行中,39.0,0.0,3,0.1,33.9,2025-04-23,2025-03-27,正常
2025-04-07 22:00:00,CNC001,运行中,40.0,0.0,3,0.25,26.8,2025-04-23,2025-03-27,正常
2025-04-07 23:00:00,CNC001,运行中,41.0,0.0,3,0.33,20.6,2025-04-23,2025-03-27,正常
2025-04-07 16:00:00,CNC002,运行中,36.0,0.0,0,0.45,31.7,2025-04-23,2025-03-27,正常
2025-04-07 17:00:00,CNC002,运行中,37.0,0.0,0,0.32,34.8,2025-04-23,2025-03-27,正常
2025-04-07 18:00:00,CNC002,待机,37.0,0.0,0,0.47,28.4,2025-04-23,2025-03-27,正常
2025-04-07 19:00:00,CNC002,运行中,38.0,0.0,0,0.25,26.0,2025-04-23,2025-03-27,正常
2025-04-07 20:00:00,CNC002,运行中,39.0,0.0,0,0.26,33.3,2025-04-23,2025-03-27,正常
2025-04-07 21:00:00,CNC002,运行中,40.0,0.0,0,0.13,24.5,2025-04-23,2025-03-27,正常
2025-04-07 22:00:00,CNC002,待机,40.0,0.0,0,0.32,33.0,2025-04-23,2025-03-27,正常
2025-04-07 23:00:00,CNC002,运行中,41.0,0.0,0,0.21,27.3,2025-04-23,2025-03-27,正常
2025-04-07 16:00:00,CNC003,运行中,32.0,0.0,2,0.4,30.6,2025-04-27,2025-03-29,正常
2025-04-07 17:00:00,CNC003,运行中,33.0,0.0,2,0.46,34.6,2025-04-27,2025-03-29,正常
2025-04-07 18:00:00,CNC003,运行中,34.0,0.0,2,0.23,27.8,2025-04-27,2025-03-29,正常
2025-04-07 19:00:00,CNC003,运行中,35.0,0.0,2,0.45,25.0,2025-04-27,2025-03-29,正常
2025-04-07 20:00:00,CNC003,运行中,36.0,0.0,2,0.33,22.1,2025-04-27,2025-03-29,正常
2025-04-07 21:00:00,CNC003,运行中,37.0,0.0,2,0.4,26.3,2025-04-27,2025-03-29,正常
2025-04-07 22:00:00,CNC003,运行中,38.0,0.0,2,0.21,26.6,2025-04-27,2025-03-29,正常
2025-04-07 23:00:00,CNC003,运行中,39.0,0.0,2,0.33,22.1,2025-04-27,2025-03-29,正常
2025-04-07 16:00:00,CNC004,运行中,32.0,0.0,1,0.12,24.4,2025-04-22,2025-03-25,正常
2025-04-07 17:00:00,CNC004,运行中,33.0,0.0,1,0.29,22.9,2025-04-22,2025-03-25,正常
2025-04-07 18:00:00,CNC004,待机,33.0,0.0,1,0.42,33.2,2025-04-22,2025-03-25,正常
2025-04-07 19:00:00,CNC004,运行中,34.0,0.0,1,0.39,24.9,2025-04-22,2025-03-25,正常
2025-04-07 20:00:00,CNC004,待机,34.0,0.0,1,0.36,23.5,2025-04-22,2025-03-25,正常
2025-04-07 21:00:00,CNC004,运行中,35.0,0.0,1,0.15,22.4,2025-04-22,2025-03-25,正常
2025-04-07 22:00:00,CNC004,运行中,36.0,0.0,1,0.36,27.7,2025-04-22,2025-03-25,正常
2025-04-07 23:00:00,CNC004,运行中,37.0,0.0,1,0.25,33.2,2025-04-22,2025-03-25,正常
2025-04-07 16:00:00,CNC005,待机,34.0,0.0,3,0.4,23.4,2025-04-21,2025-04-01,正常
2025-04-07 17:00:00,CNC005,运行中,35.0,0.0,3,0.21,33.2,2025-04-21,2025-04-01,正常
2025-04-07 18:00:00,CNC005,运行中,36.0,0.0,3,0.17,33.2,2025-04-21,2025-04-01,正常
2025-04-07 19:00:00,CNC005,运行中,37.0,0.0,3,0.22,25.8,2025-04-21,2025-04-01,正常
2025-04-07 20:00:00,CNC005,运行中,38.0,0.0,3,0.48,22.2,2025-04-21,2025-04-01,正常
2025-04-07 21:00:00,CNC005,运行中,39.0,0.0,3,0.3,30.3,2025-04-21,2025-04-01,正常
2025-04-07 22:00:00,CNC005,运行中,40.0,0.0,3,0.31,32.2,2025-04-21,2025-04-01,正常
2025-04-07 23:00:00,CNC005,运行中,41.0,0.0,3,0.24,31.2,2025-04-21,2025-04-01,正常
2025-04-08 00:00:00,CNC001,运行中,42.0,0.0,3,0.14,25.9,2025-04-23,2025-03-27,正常
2025-04-08 01:00:00,CNC001,运行中,43.0,0.0,3,0.2,25.9,2025-04-23,2025-03-27,正常
2025-04-08 02:00:00,CNC001,运行中,44.0,0.0,3,0.2,26.8,2025-04-23,2025-03-27,正常
2025-04-08 03:00:00,CNC001,运行中,45.0,0.0,3,0.39,24.4,2025-04-23,2025-03-27,正常
