时间戳,工号,班次,操作时长,熟练度,操作类型,操作结果,上次培训日期,预警状态
2025-04-06 23:52:34.156087,W006,夜班,0.5,0.64,下料,正常,2024-12-29,效率低下|需要培训
2025-04-06 18:18:09.028487,W006,夜班,1.37,0.7,维护,正常,2024-12-29,效率低下|需要培训
2025-04-06 19:53:41.113315,W006,夜班,0.59,0.68,调试,正常,2024-12-29,效率低下|需要培训
2025-04-06 20:35:23.242209,W007,夜班,1.11,0.63,上料,正常,2025-02-27,效率低下
2025-04-06 18:57:25.143150,W007,夜班,0.53,0.68,下料,正常,2025-02-27,效率低下
2025-04-06 18:12:22.926377,W008,夜班,1.32,0.64,维护,正常,2024-11-12,效率低下|需要培训
2025-04-06 22:00:42.034358,W008,夜班,0.79,0.6,质检,正常,2024-11-12,效率低下|需要培训
2025-04-06 21:34:42.214118,W008,夜班,1.18,0.6,维护,正常,2024-11-12,效率低下|需要培训
2025-04-06 16:43:44.997773,W008,白班,1.54,0.73,上料,正常,2024-11-12,效率低下|需要培训
2025-04-06 16:01:25.640243,W009,白班,1.69,0.85,维护,异常,2024-12-05,需要培训
2025-04-06 17:13:43.004639,W009,白班,0.61,0.83,质检,正常,2024-12-05,需要培训
2025-04-06 19:04:52.349897,W010,夜班,1.19,0.78,维护,正常,2024-12-14,需要培训
2025-04-06 17:30:33.594054,W010,白班,1.09,0.89,调试,正常,2024-12-14,需要培训
2025-04-06 16:00:01.413083,W010,白班,1.6,0.91,维护,正常,2024-12-14,需要培训
2025-04-06 23:23:54.274811,W010,夜班,1.59,0.73,下料,正常,2024-12-14,效率低下|需要培训
2025-04-07 03:10:24.925761,W001,夜班,1.33,0.6,维护,正常,2025-02-04,效率低下
2025-04-07 01:44:59.387046,W001,夜班,1.61,0.62,调试,异常,2025-02-04,效率低下
2025-04-07 07:18:38.976090,W001,白班,0.88,0.6,质检,正常,2025-02-04,效率低下
2025-04-07 03:17:33.950898,W001,夜班,0.95,0.6,上料,正常,2025-02-04,效率低下
2025-04-07 04:16:37.698251,W002,夜班,0.67,0.68,维护,正常,2025-02-28,效率低下
2025-04-07 06:53:26.049059,W002,白班,0.51,0.66,下料,正常,2025-02-28,效率低下
2025-04-07 02:15:51.661404,W002,夜班,1.44,0.73,下料,正常,2025-02-28,效率低下
2025-04-07 07:15:56.135848,W003,白班,1.51,0.59,下料,异常,2024-10-21,效率低下|需要培训
2025-04-07 01:57:16.567232,W003,夜班,1.89,0.61,维护,正常,2024-10-21,效率低下|需要培训
2025-04-07 00:27:04.588299,W004,夜班,0.89,0.69,上料,正常,2025-02-03,效率低下
2025-04-07 05:13:19.982409,W004,夜班,1.89,0.58,调试,正常,2025-02-03,效率低下
2025-04-07 03:45:42.821353,W004,夜班,1.18,0.61,下料,正常,2025-02-03,效率低下
2025-04-07 06:01:23.343958,W005,白班,1.43,0.84,维护,正常,2025-02-07,正常
2025-04-07 03:22:13.114632,W005,夜班,1.34,0.79,质检,正常,2025-02-07,正常
2025-04-07 05:24:15.319947,W005,夜班,1.58,0.76,上料,正常,2025-02-07,正常
2025-04-07 03:12:12.780260,W006,夜班,0.66,0.69,下料,正常,2024-12-29,效率低下|需要培训
2025-04-07 07:02:50.599098,W006,白班,1.76,0.72,质检,正常,2024-12-29,效率低下|需要培训
2025-04-07 02:17:56.786353,W006,夜班,1.2,0.7,质检,正常,2024-12-29,效率低下|需要培训
2025-04-07 06:41:23.528636,W006,白班,1.55,0.73,质检,正常,2024-12-29,效率低下|需要培训
2025-04-07 02:18:17.342954,W007,夜班,0.52,0.69,质检,正常,2025-02-27,效率低下
2025-04-07 02:18:34.056879,W007,夜班,1.32,0.69,质检,异常,2025-02-27,效率低下
2025-04-07 02:39:42.284895,W007,夜班,0.82,0.68,质检,正常,2025-02-27,效率低下
2025-04-07 04:24:58.958629,W007,夜班,1.36,0.64,调试,正常,2025-02-27,效率低下
2025-04-07 03:19:04.865762,W008,夜班,1.16,0.63,质检,正常,2024-11-12,效率低下|需要培训
2025-04-07 00:07:43.566583,W008,夜班,0.78,0.66,维护,正常,2024-11-12,效率低下|需要培训
2025-04-07 05:04:39.461550,W008,夜班,1.09,0.61,调试,正常,2024-11-12,效率低下|需要培训
2025-04-07 01:41:35.954747,W008,夜班,1.14,0.64,维护,正常,2024-11-12,效率低下|需要培训
2025-04-07 00:54:23.555271,W009,夜班,1.22,0.75,调试,正常,2024-12-05,需要培训
2025-04-07 03:35:53.068792,W009,夜班,0.64,0.7,调试,正常,2024-12-05,效率低下|需要培训
2025-04-07 00:12:43.792034,W010,夜班,1.78,0.82,调试,正常,2024-12-14,需要培训
2025-04-07 06:03:09.733981,W010,白班,1.77,0.83,下料,正常,2024-12-14,需要培训
2025-04-07 13:37:53.739733,W001,白班,1.06,0.63,质检,正常,2025-02-04,效率低下
2025-04-07 12:03:22.054778,W001,白班,1.83,0.65,调试,正常,2025-02-04,效率低下
2025-04-07 12:45:22.261526,W002,白班,0.65,0.73,下料,正常,2025-02-28,效率低下
2025-04-07 13:16:50.259025,W002,白班,1.22,0.72,下料,正常,2025-02-28,效率低下
2025-04-07 15:58:02.582737,W003,白班,1.63,0.58,上料,正常,2024-10-21,效率低下|需要培训
2025-04-07 12:11:47.559387,W003,白班,0.83,0.64,质检,正常,2024-10-21,效率低下|需要培训
2025-04-07 15:39:15.135559,W003,白班,1.76,0.58,维护,正常,2024-10-21,效率低下|需要培训
2025-04-07 14:28:30.699731,W003,白班,1.28,0.6,下料,正常,2024-10-21,效率低下|需要培训
2025-04-07 11:23:41.548788,W004,白班,1.84,0.69,下料,正常,2025-02-03,效率低下
2025-04-07 13:48:59.922502,W004,白班,1.6,0.63,下料,正常,2025-02-03,效率低下
2025-04-07 14:51:32.548673,W004,白班,1.51,0.6,调试,正常,2025-02-03,效率低下
2025-04-07 09:29:35.666587,W005,白班,1.29,0.9,下料,正常,2025-02-07,正常
2025-04-07 09:09:18.553105,W005,白班,1.9,0.9,调试,正常,2025-02-07,正常
2025-04-07 11:27:28.936390,W006,白班,1.92,0.77,调试,正常,2024-12-29,需要培训
2025-04-07 10:06:29.619284,W006,白班,0.66,0.78,维护,正常,2024-12-29,需要培训
2025-04-07 12:49:53.774367,W007,白班,0.8,0.7,调试,正常,2025-02-27,效率低下
2025-04-07 15:03:28.918596,W007,白班,0.98,0.64,下料,正常,2025-02-27,效率低下
2025-04-07 08:32:30.694924,W008,白班,1.55,0.73,下料,正常,2024-11-12,效率低下|需要培训
2025-04-07 13:45:06.870668,W008,白班,1.87,0.67,下料,正常,2024-11-12,效率低下|需要培训
2025-04-07 10:43:12.669897,W009,白班,0.92,0.8,下料,正常,2024-12-05,需要培训
2025-04-07 08:11:16.211405,W009,白班,0.9,0.85,上料,正常,2024-12-05,需要培训
2025-04-07 11:39:10.059357,W010,白班,1.21,0.86,上料,正常,2024-12-14,需要培训
2025-04-07 12:48:22.065263,W010,白班,0.74,0.85,下料,正常,2024-12-14,需要培训
2025-04-07 11:50:20.285794,W010,白班,1.02,0.86,质检,正常,2024-12-14,需要培训
2025-04-07 18:22:45.356489,W001,夜班,1.62,0.61,上料,正常,2025-02-04,效率低下
2025-04-07 23:20:19.495379,W001,夜班,1.47,0.54,维护,正常,2025-02-04,效率低下
2025-04-07 18:06:09.019571,W002,夜班,0.77,0.74,上料,正常,2025-02-28,效率低下
2025-04-07 16:15:03.006752,W002,白班,0.73,0.88,上料,正常,2025-02-28,正常
2025-04-07 23:35:01.544244,W002,夜班,0.84,0.58,下料,异常,2025-02-28,效率低下
2025-04-07 18:58:45.991894,W002,夜班,1.73,0.71,质检,正常,2025-02-28,效率低下
2025-04-07 16:26:59.781038,W003,白班,1.06,0.7,维护,正常,2024-10-21,效率低下|需要培训
2025-04-07 18:48:26.550252,W003,夜班,0.61,0.59,下料,正常,2024-10-21,效率低下|需要培训
2025-04-07 17:31:50.661079,W004,白班,0.85,0.74,下料,正常,2025-02-03,效率低下
2025-04-07 20:05:48.584330,W004,夜班,0.55,0.6,维护,正常,2025-02-03,效率低下
2025-04-07 22:35:35.398253,W004,夜班,0.67,0.54,质检,正常,2025-02-03,效率低下
2025-04-07 22:08:19.599743,W005,夜班,1.16,0.75,维护,正常,2025-02-07,正常
2025-04-07 19:33:22.718240,W005,夜班,1.23,0.78,下料,正常,2025-02-07,正常
2025-04-07 21:29:47.318216,W005,夜班,1.56,0.76,质检,正常,2025-02-07,正常
2025-04-07 20:25:38.265632,W006,夜班,1.34,0.68,下料,正常,2024-12-29,效率低下|需要培训
2025-04-07 22:10:02.367237,W006,夜班,1.26,0.66,调试,正常,2024-12-29,效率低下|需要培训
2025-04-07 20:24:53.960787,W006,夜班,1.98,0.68,质检,正常,2024-12-29,效率低下|需要培训
2025-04-07 16:23:07.205931,W006,白班,1.97,0.8,质检,正常,2024-12-29,需要培训
2025-04-07 22:16:18.737734,W007,夜班,0.59,0.59,上料,正常,2025-02-27,效率低下
2025-04-07 16:42:29.486636,W007,白班,1.69,0.81,质检,正常,2025-02-27,正常
2025-04-07 19:12:24.839240,W008,夜班,1.66,0.63,调试,正常,2024-11-12,效率低下|需要培训
2025-04-07 19:33:18.807483,W008,夜班,1.31,0.62,下料,正常,2024-11-12,效率低下|需要培训
2025-04-07 22:15:13.613148,W009,夜班,1.22,0.66,上料,正常,2024-12-05,效率低下|需要培训
2025-04-07 21:18:37.590515,W009,夜班,1.69,0.68,质检,正常,2024-12-05,效率低下|需要培训
2025-04-07 20:42:59.884796,W009,夜班,0.51,0.69,维护,正常,2024-12-05,效率低下|需要培训
2025-04-07 23:18:41.348153,W009,夜班,1.79,0.64,调试,正常,2024-12-05,效率低下|需要培训
2025-04-07 19:40:23.589148,W010,夜班,1.69,0.77,上料,异常,2024-12-14,需要培训
2025-04-07 18:46:01.302246,W010,夜班,1.47,0.79,维护,正常,2024-12-14,需要培训
2025-04-07 17:22:59.528890,W010,白班,1.75,0.89,调试,正常,2024-12-14,需要培训
2025-04-08 04:38:20.526703,W001,夜班,0.62,0.58,质检,正常,2025-02-04,效率低下
2025-04-08 00:07:11.834214,W001,夜班,1.41,0.64,下料,正常,2025-02-04,效率低下
2025-04-08 04:37:26.797054,W002,夜班,1.82,0.67,质检,正常,2025-02-28,效率低下
2025-04-08 01:19:44.391268,W002,夜班,1.18,0.76,上料,正常,2025-02-28,正常
2025-04-08 06:57:17.040419,W002,白班,1.07,0.66,调试,正常,2025-02-28,效率低下
2025-04-08 04:37:35.138027,W002,夜班,0.52,0.67,调试,正常,2025-02-28,效率低下
2025-04-08 06:46:39.807040,W003,白班,1.8,0.6,质检,正常,2024-10-21,效率低下|需要培训
2025-04-08 00:18:54.241386,W003,夜班,0.67,0.63,质检,正常,2024-10-21,效率低下|需要培训
2025-04-08 00:55:48.193438,W003,夜班,0.89,0.62,维护,正常,2024-10-21,效率低下|需要培训
2025-04-08 03:15:32.389753,W004,夜班,1.94,0.62,下料,正常,2025-02-03,效率低下
2025-04-08 06:29:57.902475,W004,白班,0.86,0.61,上料,正常,2025-02-03,效率低下
2025-04-08 00:30:55.012336,W004,夜班,0.91,0.69,上料,正常,2025-02-03,效率低下
2025-04-08 03:35:14.240343,W004,夜班,1.88,0.62,上料,正常,2025-02-03,效率低下
2025-04-08 02:00:28.544335,W005,夜班,1.63,0.8,调试,正常,2025-02-07,正常
2025-04-08 01:47:07.314777,W005,夜班,1.78,0.8,下料,正常,2025-02-07,正常
2025-04-08 06:43:42.366041,W006,白班,0.86,0.72,调试,异常,2024-12-29,效率低下|需要培训
2025-04-08 06:53:08.533495,W006,白班,1.57,0.72,维护,正常,2024-12-29,效率低下|需要培训
2025-04-08 05:47:01.963699,W006,夜班,1.21,0.66,维护,正常,2024-12-29,效率低下|需要培训
2025-04-08 07:30:26.105781,W007,白班,1.49,0.62,维护,正常,2025-02-27,效率低下
2025-04-08 04:04:13.422178,W007,夜班,0.67,0.65,质检,正常,2025-02-27,效率低下
2025-04-08 00:07:13.359317,W007,夜班,0.62,0.75,下料,正常,2025-02-27,效率低下
2025-04-08 03:28:45.508784,W008,夜班,1.23,0.62,质检,正常,2024-11-12,效率低下|需要培训
2025-04-08 01:42:44.084526,W008,夜班,0.81,0.64,质检,正常,2024-11-12,效率低下|需要培训
2025-04-08 03:15:34.273138,W008,夜班,1.46,0.63,上料,正常,2024-11-12,效率低下|需要培训
2025-04-08 04:52:27.680032,W009,夜班,1.45,0.68,上料,正常,2024-12-05,效率低下|需要培训
2025-04-08 03:45:38.718310,W009,夜班,0.83,0.7,调试,正常,2024-12-05,效率低下|需要培训
2025-04-08 02:56:22.191578,W010,夜班,1.78,0.78,质检,正常,2024-12-14,需要培训
2025-04-08 04:38:52.559384,W010,夜班,1.46,0.76,上料,正常,2024-12-14,需要培训
2025-04-08 00:08:28.864939,W010,夜班,1.97,0.82,下料,正常,2024-12-14,需要培训
2025-04-08 08:39:21.377898,W001,白班,1.33,0.7,上料,正常,2025-02-04,效率低下
2025-04-08 08:52:33.981606,W001,白班,1.67,0.7,维护,正常,2025-02-04,效率低下
2025-04-08 15:44:02.305182,W001,白班,0.69,0.6,下料,正常,2025-02-04,效率低下
2025-04-08 13:14:30.973017,W002,白班,1.75,0.72,调试,正常,2025-02-28,效率低下
2025-04-08 13:32:56.265205,W002,白班,1.76,0.71,下料,正常,2025-02-28,效率低下
2025-04-08 11:45:23.574859,W003,白班,1.5,0.64,维护,异常,2024-10-21,效率低下|需要培训
2025-04-08 08:44:57.727084,W003,白班,1.79,0.69,维护,正常,2024-10-21,效率低下|需要培训
2025-04-08 14:06:53.505918,W004,白班,1.72,0.62,下料,正常,2025-02-03,效率低下
2025-04-08 10:07:20.862037,W004,白班,1.26,0.72,上料,正常,2025-02-03,效率低下
2025-04-08 09:49:27.400158,W004,白班,1.54,0.73,调试,正常,2025-02-03,效率低下
2025-04-08 13:09:42.368005,W005,白班,0.96,0.85,维护,正常,2025-02-07,正常
2025-04-08 10:11:49.099755,W005,白班,1.0,0.89,下料,正常,2025-02-07,正常
2025-04-08 13:16:11.357733,W005,白班,0.8,0.85,质检,正常,2025-02-07,正常
2025-04-08 09:50:02.545213,W005,白班,1.7,0.89,上料,正常,2025-02-07,正常
2025-04-08 11:52:09.609396,W006,白班,1.27,0.76,质检,正常,2024-12-29,需要培训
2025-04-08 14:02:39.020525,W006,白班,1.53,0.73,下料,正常,2024-12-29,效率低下|需要培训
2025-04-08 09:31:18.830990,W006,白班,1.87,0.79,质检,正常,2024-12-29,需要培训
2025-04-08 14:37:17.815111,W006,白班,1.17,0.73,下料,正常,2024-12-29,效率低下|需要培训
2025-04-08 13:22:47.762931,W007,白班,0.77,0.68,下料,正常,2025-02-27,效率低下
2025-04-08 14:24:22.934669,W007,白班,0.52,0.66,下料,正常,2025-02-27,效率低下
2025-04-08 12:52:07.806987,W007,白班,0.69,0.7,上料,正常,2025-02-27,效率低下
2025-04-08 13:09:16.683423,W008,白班,1.57,0.67,上料,正常,2024-11-12,效率低下|需要培训
2025-04-08 11:04:57.599144,W008,白班,1.22,0.7,质检,正常,2024-11-12,效率低下|需要培训
2025-04-08 14:34:53.317859,W008,白班,0.7,0.66,质检,正常,2024-11-12,效率低下|需要培训
2025-04-08 15:25:14.759777,W009,白班,1.61,0.71,质检,正常,2024-12-05,效率低下|需要培训
2025-04-08 11:12:42.853727,W009,白班,1.36,0.79,下料,正常,2024-12-05,需要培训
2025-04-08 15:24:44.390389,W009,白班,1.89,0.71,下料,正常,2024-12-05,效率低下|需要培训
2025-04-08 13:15:48.862703,W010,白班,0.8,0.84,维护,正常,2024-12-14,需要培训
2025-04-08 09:03:24.192330,W010,白班,1.09,0.9,上料,正常,2024-12-14,需要培训
2025-04-08 11:41:49.129975,W010,白班,0.69,0.86,质检,正常,2024-12-14,需要培训
2025-04-08 20:47:21.887996,W001,夜班,1.21,0.58,质检,正常,2025-02-04,效率低下
2025-04-08 17:09:18.025842,W001,白班,1.79,0.7,维护,正常,2025-02-04,效率低下
2025-04-08 18:40:12.310456,W001,夜班,0.54,0.61,调试,正常,2025-02-04,效率低下
2025-04-08 22:46:25.927809,W001,夜班,1.78,0.55,质检,正常,2025-02-04,效率低下
2025-04-08 19:56:15.426464,W002,夜班,1.35,0.69,上料,正常,2025-02-28,效率低下
2025-04-08 22:24:56.679492,W002,夜班,1.4,0.61,上料,正常,2025-02-28,效率低下
2025-04-08 21:57:18.180661,W003,夜班,1.65,0.55,下料,正常,2024-10-21,效率低下|需要培训
2025-04-08 22:06:16.997610,W003,夜班,0.76,0.55,下料,正常,2024-10-21,效率低下|需要培训
2025-04-08 19:25:27.493866,W003,夜班,1.47,0.58,调试,正常,2024-10-21,效率低下|需要培训
2025-04-08 23:31:56.254526,W004,夜班,1.79,0.52,调试,正常,2025-02-03,效率低下
2025-04-08 17:15:16.305713,W004,白班,1.59,0.75,上料,异常,2025-02-03,效率低下
2025-04-08 16:33:41.075127,W005,白班,1.48,0.91,下料,正常,2025-02-07,正常
2025-04-08 22:56:01.624802,W005,夜班,1.25,0.75,上料,正常,2025-02-07,效率低下
2025-04-08 19:21:01.889736,W005,夜班,1.33,0.79,质检,正常,2025-02-07,正常
2025-04-08 17:39:25.007142,W005,白班,1.33,0.89,调试,正常,2025-02-07,正常
2025-04-08 17:00:52.496690,W006,白班,1.68,0.8,质检,正常,2024-12-29,需要培训
2025-04-08 16:53:08.113541,W006,白班,0.96,0.8,维护,正常,2024-12-29,需要培训
2025-04-08 19:46:13.987935,W007,夜班,1.03,0.66,下料,正常,2025-02-27,效率低下
2025-04-08 22:44:14.634875,W007,夜班,0.75,0.58,维护,正常,2025-02-27,效率低下
2025-04-08 16:10:33.552587,W007,白班,1.11,0.83,上料,正常,2025-02-27,正常
2025-04-08 20:17:53.877987,W008,夜班,0.93,0.62,上料,正常,2024-11-12,效率低下|需要培训
2025-04-08 20:22:19.094616,W008,夜班,1.78,0.61,下料,正常,2024-11-12,效率低下|需要培训
2025-04-08 23:09:10.494209,W009,夜班,1.0,0.64,维护,正常,2024-12-05,效率低下|需要培训
2025-04-08 22:07:07.253867,W009,夜班,0.61,0.66,调试,正常,2024-12-05,效率低下|需要培训
2025-04-08 21:50:14.771698,W009,夜班,1.79,0.67,质检,正常,2024-12-05,效率低下|需要培训
2025-04-08 19:59:55.641822,W009,夜班,0.64,0.7,调试,正常,2024-12-05,效率低下|需要培训
2025-04-08 19:31:30.230351,W010,夜班,1.39,0.78,质检,正常,2024-12-14,需要培训
2025-04-08 20:33:46.307912,W010,夜班,0.82,0.76,下料,正常,2024-12-14,需要培训
2025-04-08 21:14:20.708276,W010,夜班,1.84,0.76,调试,异常,2024-12-14,需要培训
2025-04-09 03:29:18.511253,W001,夜班,0.54,0.59,下料,正常,2025-02-04,效率低下
2025-04-09 06:48:52.431936,W001,白班,1.47,0.61,上料,正常,2025-02-04,效率低下
2025-04-09 00:47:56.670503,W001,夜班,1.7,0.63,上料,正常,2025-02-04,效率低下
2025-04-09 00:53:42.441455,W002,夜班,1.11,0.78,维护,正常,2025-02-28,正常
2025-04-09 05:59:02.260642,W002,夜班,0.6,0.62,维护,正常,2025-02-28,效率低下
2025-04-09 02:23:33.892980,W002,夜班,1.54,0.73,维护,正常,2025-02-28,效率低下
2025-04-09 05:30:39.118741,W002,夜班,0.92,0.64,质检,正常,2025-02-28,效率低下
2025-04-09 04:31:35.981702,W003,夜班,0.88,0.57,调试,正常,2024-10-21,效率低下|需要培训
2025-04-09 00:05:09.960113,W003,夜班,1.93,0.63,上料,正常,2024-10-21,效率低下|需要培训
2025-04-09 02:33:40.295865,W003,夜班,1.18,0.6,调试,正常,2024-10-21,效率低下|需要培训
2025-04-09 05:09:14.638797,W004,夜班,1.97,0.58,下料,正常,2025-02-03,效率低下
2025-04-09 07:13:42.839918,W004,白班,1.55,0.59,下料,正常,2025-02-03,效率低下
2025-04-09 06:22:05.852952,W004,白班,1.56,0.61,维护,正常,2025-02-03,效率低下
2025-04-09 05:12:17.079915,W004,夜班,1.67,0.58,下料,正常,2025-02-03,效率低下
2025-04-09 06:55:59.112710,W005,白班,0.87,0.83,质检,异常,2025-02-07,正常
